point_1_id,point_1_time,point_1_B2,point_1_B3,point_1_B4,point_1_B8,point_1_B8A,point_1_B11,point_1_B12,timestamp,point_1_id_cloud,point_1_time_cloud,point_1_cs,point_1_cs_cdf,point_1_sun_zenith,point_1_sun_azimuth,point_2_id,point_2_time,point_2_B2,point_2_B3,point_2_B4,point_2_B8,point_2_B8A,point_2_B11,point_2_B12,timestamp,point_2_id_cloud,point_2_time_cloud,point_2_cs,point_2_cs_cdf,point_2_sun_zenith,point_2_sun_azimuth,point_3_id,point_3_time,point_3_B2,point_3_B3,point_3_B4,point_3_B8,point_3_B8A,point_3_B11,point_3_B12,timestamp,point_3_id_cloud,point_3_time_cloud,point_3_cs,point_3_cs_cdf,point_3_sun_zenith,point_3_sun_azimuth,point_4_id,point_4_time,point_4_B2,point_4_B3,point_4_B4,point_4_B8,point_4_B8A,point_4_B11,point_4_B12,timestamp,point_4_id_cloud,point_4_time_cloud,point_4_cs,point_4_cs_cdf,point_4_sun_zenith,point_4_sun_azimuth,point_5_id,point_5_time,point_5_B2,point_5_B3,point_5_B4,point_5_B8,point_5_B8A,point_5_B11,point_5_B12,timestamp,point_5_id_cloud,point_5_time_cloud,point_5_cs,point_5_cs_cdf,point_5_sun_zenith,point_5_sun_azimuth,point_6_id,point_6_time,point_6_B2,point_6_B3,point_6_B4,point_6_B8,point_6_B8A,point_6_B11,point_6_B12,timestamp,point_6_id_cloud,point_6_time_cloud,point_6_cs,point_6_cs_cdf,point_6_sun_zenith,point_6_sun_azimuth,point_7_id,point_7_time,point_7_B2,point_7_B3,point_7_B4,point_7_B8,point_7_B8A,point_7_B11,point_7_B12,timestamp,point_7_id_cloud,point_7_time_cloud,point_7_cs,point_7_cs_cdf,point_7_sun_zenith,point_7_sun_azimuth,point_8_id,point_8_time,point_8_B2,point_8_B3,point_8_B4,point_8_B8,point_8_B8A,point_8_B11,point_8_B12,timestamp,point_8_id_cloud,point_8_time_cloud,point_8_cs,point_8_cs_cdf,point_8_sun_zenith,point_8_sun_azimuth,point_9_id,point_9_time,point_9_B2,point_9_B3,point_9_B4,point_9_B8,point_9_B8A,point_9_B11,point_9_B12,timestamp,point_9_id_cloud,point_9_time_cloud,point_9_cs,point_9_cs_cdf,point_9_sun_zenith,point_9_sun_azimuth
20181213T223659_20181213T223656_T59GMM,1544740695731.0,2264.0,2252.0,2136.0,3318.0,3803.0,3274.0,2938.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.19607843137254902,0.22745098039215686,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2416.0,2326.0,2118.0,3510.0,3496.0,3117.0,2582.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.20392156862745098,0.23137254901960785,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2288.0,2442.0,2320.0,3536.0,3496.0,3117.0,2582.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.20784313725490197,0.23529411764705882,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2300.0,2308.0,2208.0,3586.0,3668.0,3210.0,2712.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.21568627450980393,0.24313725490196078,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2770.0,2668.0,2346.0,3992.0,3668.0,3210.0,2712.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.2235294117647059,0.24705882352941178,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2642.0,2480.0,2214.0,3658.0,3803.0,3274.0,2938.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.1803921568627451,0.21176470588235294,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2820.0,2856.0,2520.0,4092.0,3668.0,3210.0,2712.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.21176470588235294,0.23529411764705882,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,3098.0,2924.0,2508.0,4080.0,3665.0,3308.0,2849.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.17254901960784313,0.20392156862745098,31.2543770618,57.9608220423,20181213T223659_20181213T223656_T59GMM,1544740695731.0,2620.0,2732.0,2564.0,3980.0,3837.0,3379.0,2901.0,2018-12-14 10:38:15,20181213T223659_20181213T223656_T59GMM,1544740695730.0,0.20392156862745098,0.23529411764705882,31.2543770618,57.9608220423
20181215T222531_20181215T222536_T59GMM,1544912896000.0,8392.0,7808.0,7360.0,7536.0,7384.0,5487.0,4050.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8416.0,7816.0,7408.0,7572.0,7361.0,5451.0,4024.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8336.0,7812.0,7472.0,7560.0,7361.0,5451.0,4024.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8296.0,7808.0,7416.0,7520.0,7387.0,5445.0,4006.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8336.0,7788.0,7388.0,7508.0,7387.0,5445.0,4006.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.0392156862745098,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8440.0,7848.0,7404.0,7572.0,7384.0,5487.0,4050.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8296.0,7728.0,7332.0,7500.0,7387.0,5445.0,4006.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.0392156862745098,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8480.0,7872.0,7448.0,7592.0,7505.0,5537.0,4104.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.043137254901960784,32.8808651905,61.5837517962,20181215T222531_20181215T222536_T59GMM,1544912896000.0,8304.0,7736.0,7284.0,7480.0,7365.0,5410.0,3990.0,2018-12-16 10:28:16,20181215T222531_20181215T222536_T59GMM,1544912896920.0,0.00392156862745098,0.0392156862745098,32.8808651905,61.5837517962
20181218T223651_20181218T223734_T59GMM,1545172693000.0,6812.0,6896.0,6976.0,7540.0,7385.0,3879.0,2740.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6812.0,6932.0,7020.0,7516.0,7430.0,3888.0,2768.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6784.0,6904.0,7012.0,7508.0,7430.0,3888.0,2768.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6808.0,6920.0,6988.0,7540.0,7387.0,3890.0,2775.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6828.0,6916.0,7032.0,7520.0,7387.0,3890.0,2775.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.054901960784313725,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6784.0,6920.0,7044.0,7524.0,7385.0,3879.0,2740.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6828.0,6904.0,7032.0,7560.0,7387.0,3890.0,2775.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.054901960784313725,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6748.0,6904.0,7072.0,7508.0,7439.0,3880.0,2759.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.058823529411764705,31.4738819875,59.0435022482,20181218T223651_20181218T223734_T59GMM,1545172693000.0,6828.0,6964.0,7032.0,7568.0,7437.0,3919.0,2792.0,2018-12-19 10:38:13,20181218T223651_20181218T223734_T59GMM,1545172693350.0,0.011764705882352941,0.054901960784313725,31.4738819875,59.0435022482
20181220T222539_20181220T222533_T59GMM,1545344900000.0,2152.0,2330.0,2066.0,3628.0,3513.0,2676.0,2317.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.047058823529411764,0.1411764705882353,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,2032.0,2258.0,2120.0,3542.0,3515.0,2757.0,2332.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.054901960784313725,0.14901960784313725,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,1964.0,2178.0,2130.0,3452.0,3515.0,2757.0,2332.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.06274509803921569,0.1568627450980392,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,1986.0,2166.0,2124.0,3352.0,3622.0,2822.0,2394.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.07450980392156863,0.16862745098039217,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,1922.0,2150.0,2106.0,3282.0,3622.0,2822.0,2394.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.08235294117647059,0.1843137254901961,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,2114.0,2314.0,2150.0,3686.0,3513.0,2676.0,2317.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.043137254901960784,0.13725490196078433,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,1778.0,2002.0,2068.0,3174.0,3622.0,2822.0,2394.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.08627450980392157,0.18823529411764706,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,2178.0,2344.0,2194.0,3626.0,3532.0,2732.0,2353.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.043137254901960784,0.13333333333333333,33.1628404761,62.4817863042,20181220T222539_20181220T222533_T59GMM,1545344900000.0,1614.0,1868.0,2014.0,3034.0,3761.0,2801.0,2477.0,2018-12-21 10:28:20,20181220T222539_20181220T222533_T59GMM,1545344900760.0,0.09019607843137255,0.19607843137254902,33.1628404761,62.4817863042
20181225T222531_20181225T222541_T59GMM,1545776898000.0,11640.0,10616.0,9968.0,9464.0,9040.0,5518.0,4178.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11600.0,10632.0,9992.0,9464.0,9213.0,5593.0,4124.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11680.0,10664.0,10000.0,9432.0,9213.0,5593.0,4124.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11768.0,10720.0,9968.0,9552.0,9263.0,5664.0,4132.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11816.0,10768.0,10096.0,9696.0,9263.0,5664.0,4132.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11736.0,10680.0,9992.0,9496.0,9040.0,5518.0,4178.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11776.0,10712.0,10096.0,9608.0,9263.0,5664.0,4132.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11800.0,10704.0,10016.0,9496.0,9106.0,5697.0,4224.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293,20181225T222531_20181225T222541_T59GMM,1545776898000.0,11784.0,10736.0,10032.0,9568.0,9267.0,5845.0,4379.0,2018-12-26 10:28:18,20181225T222531_20181225T222541_T59GMM,1545776898220.0,0.00392156862745098,0.043137254901960784,33.6093431887,63.1575759293
20181230T222539_20181230T222535_T59GMM,1546208902000.0,70.0,29.0,13.0,1.0,1.0,94.0,65.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8823529411764706,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,68.0,19.0,21.0,1.0,1.0,120.0,120.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8862745098039215,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,62.0,29.0,1.0,1.0,1.0,120.0,120.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8862745098039215,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,69.0,47.0,26.0,1.0,1.0,102.0,98.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8901960784313725,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,76.0,47.0,26.0,1.0,1.0,102.0,98.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8313725490196079,0.8901960784313725,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,59.0,37.0,13.0,1.0,1.0,94.0,65.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8823529411764706,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,64.0,42.0,20.0,1.0,1.0,102.0,98.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8901960784313725,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,59.0,31.0,1.0,1.0,1.0,69.0,55.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8823529411764706,34.1718201169,63.5314567077,20181230T222539_20181230T222535_T59GMM,1546208902000.0,49.0,18.0,18.0,1.0,1.0,97.0,81.0,2018-12-31 10:28:22,20181230T222539_20181230T222535_T59GMM,1546208902830.0,0.8274509803921568,0.8901960784313725,34.1718201169,63.5314567077
20190102T223659_20190102T223700_T59GMM,1546468699000.0,243.0,256.0,247.0,186.0,239.0,285.0,253.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9215686274509803,0.8705882352941177,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,193.0,232.0,232.0,156.0,222.0,275.0,255.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9294117647058824,0.8784313725490196,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,195.0,231.0,232.0,139.0,222.0,275.0,255.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9333333333333333,0.8823529411764706,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,222.0,227.0,230.0,160.0,215.0,259.0,234.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9411764705882353,0.8901960784313725,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,199.0,214.0,204.0,160.0,215.0,259.0,234.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9450980392156862,0.8901960784313725,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,203.0,218.0,215.0,170.0,239.0,285.0,253.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9215686274509803,0.8745098039215686,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,180.0,212.0,195.0,155.0,215.0,259.0,234.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9411764705882353,0.8941176470588236,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,193.0,199.0,184.0,141.0,190.0,232.0,216.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9176470588235294,0.8784313725490196,32.987703771,60.6568371964,20190102T223659_20190102T223700_T59GMM,1546468699000.0,160.0,171.0,167.0,120.0,172.0,224.0,207.0,2019-01-03 10:38:19,20190102T223659_20190102T223700_T59GMM,1546468699940.0,0.9294117647058824,0.8941176470588236,32.987703771,60.6568371964
20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,69.0,65.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8901960784313725,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,107.0,86.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9607843137254902,0.8941176470588236,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,107.0,86.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8941176470588236,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,118.0,108.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8980392156862745,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,118.0,108.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8980392156862745,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,69.0,65.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8901960784313725,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,118.0,108.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8980392156862745,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,67.0,63.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8862745098039215,34.8754678995,63.6687414292,20190104T222531_20190104T222532_T59GMM,1546640900000.0,1.0,1.0,1.0,1.0,1.0,111.0,113.0,2019-01-05 10:28:20,20190104T222531_20190104T222532_T59GMM,1546640900120.0,0.9568627450980393,0.8941176470588236,34.8754678995,63.6687414292
20190107T223701_20190107T223722_T59GMM,1546900697000.0,138.0,138.0,90.0,26.0,37.0,116.0,81.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7098039215686275,0.8705882352941177,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,146.0,130.0,87.0,22.0,49.0,125.0,112.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7137254901960784,0.8745098039215686,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,123.0,126.0,89.0,34.0,49.0,125.0,112.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7176470588235294,0.8745098039215686,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,129.0,138.0,97.0,32.0,45.0,142.0,123.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7215686274509804,0.8745098039215686,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,134.0,147.0,91.0,43.0,45.0,142.0,123.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7254901960784313,0.8745098039215686,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,130.0,128.0,82.0,18.0,37.0,116.0,81.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7098039215686275,0.8705882352941177,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,151.0,147.0,87.0,73.0,45.0,142.0,123.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7215686274509804,0.8745098039215686,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,140.0,134.0,84.0,27.0,24.0,111.0,65.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7058823529411765,0.8705882352941177,33.7578157245,60.6664538993,20190107T223701_20190107T223722_T59GMM,1546900697000.0,214.0,187.0,115.0,100.0,100.0,143.0,120.0,2019-01-08 10:38:17,20190107T223701_20190107T223722_T59GMM,1546900697150.0,0.7176470588235294,0.8745098039215686,33.7578157245,60.6664538993
20190109T222539_20190109T222536_T59GMM,1547072904000.0,5528.0,5068.0,4720.0,4948.0,4966.0,3726.0,2726.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5516.0,5044.0,4732.0,4952.0,5009.0,3677.0,2678.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5548.0,5128.0,4756.0,4968.0,5009.0,3677.0,2678.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5380.0,5000.0,4668.0,4844.0,4900.0,3545.0,2583.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5184.0,4812.0,4516.0,4716.0,4900.0,3545.0,2583.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5528.0,5044.0,4716.0,4920.0,4966.0,3726.0,2726.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,4988.0,4588.0,4296.0,4516.0,4900.0,3545.0,2583.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,5480.0,5044.0,4724.0,4896.0,4968.0,3666.0,2680.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00392156862745098,0.050980392156862744,35.6675709888,63.5020710211,20190109T222539_20190109T222536_T59GMM,1547072904000.0,4836.0,4416.0,4124.0,4356.0,4583.0,3299.0,2367.0,2019-01-10 10:28:24,20190109T222539_20190109T222536_T59GMM,1547072904400.0,0.00784313725490196,0.050980392156862744,35.6675709888,63.5020710211
